P/N,Cost to cost comp,Q'ty ,total_value,status,Start Date,Time
C423988050,1.0,2225,2225.0,no delay,20230102,20230106
C422926050,1.0,540,540.0,no delay,20221225,20230106
R89988101,,190,,no delay,20221120,20230106
C14957138,1.0,1200,1200.0,no delay,20221231,20230106
91728,,500,,no delay,20221230,20230106
02-037431-001,1.0,239,239.0,delay,20230115,20230107
SETUP-OEM,1.0,1,1.0,no delay,20220930,20230106
B122180040-UNCOAT,,583,,no delay,20221121,20230113
B122180040-UNCOAT,,2417,,no delay,20221219,20230113
M723532124,1.0,2244,2244.0,no delay,20230102,20230113
C422926050,1.0,1836,1836.0,no delay,20221225,20230113
C224059072,,1133,,delay,20230220,20230113
C18667070,1.0,133,133.0,no delay,20221130,20230113
C18667070,1.0,394,394.0,delay,20230220,20230113
T820077172,1.0,1129,1129.0,invalid date,0,20230113
R811115C101,1.0,632,632.0,no delay,20230102,20230113
10165-01,1.0,900,900.0,no delay,20221130,20230110
10165-01,1.0,332,332.0,no delay,20221130,20230110
10164-01,1.0,132,132.0,no delay,20221130,20230110
10164-01,1.0,144,144.0,no delay,20221130,20230110
C420059050,1.0,270,270.0,no delay,20191216,20230110
C420059050,1.0,204,204.0,no delay,20230110,20230110
C422926050,1.0,124,124.0,no delay,20221225,20230110
C45661050,1.0,330,330.0,no delay,20230105,20230110
C45661050,1.0,270,270.0,no delay,20230105,20230110
02-034007-002,,37,,no delay,20221219,20230112
02-043129-001-M,1.0,146,146.0,no delay,20220615,20230112
C423988050,1.0,1173,1173.0,no delay,20230102,20230112
C426410050,1.0,30,30.0,no delay,20230110,20230112
R811115C101,1.0,3060,3060.0,no delay,20230102,20230112
04-00325022-002,1.0,74,74.0,no delay,20220930,20230113
04-00512734-002,1.0,300,300.0,no delay,20230112,20230113
04-00536880-001,,7,,no delay,20221130,20230113
04-00536881-001,,2,,no delay,20221205,20230113
04-00536879-001,,34,,no delay,20221130,20230113
10165-01,1.0,153,153.0,no delay,20221130,20230113
10169-01,,700,,no delay,20221130,20230113
10169-01,,44,,no delay,20221130,20230113
10164-01,1.0,504,504.0,no delay,20221130,20230113
10164-01,1.0,83,83.0,no delay,20221130,20230113
04-00536873-002,,20,,no delay,20221130,20230114
8151,,1000,,invalid date,0,20230202
8169,,99,,invalid date,0,20230202
8169,,990,,invalid date,0,20230202
8169,,10,,invalid date,0,20230202
8169,,1101,,no delay,20220627,20230202
8217,,600,,no delay,20220627,20230202
10185-01,,140,,no delay,20221130,20230211
10169-01,,260,,no delay,20221130,20230218
04-00512734-002,1.0,188,188.0,no delay,20230209,20230218
02-034007-002,,81,,no delay,20221226,20230218
02-037431-001,1.0,261,261.0,no delay,20230115,20230218
02-027489-001,1.0,822,822.0,no delay,20221010,20230218
C423988050,1.0,602,602.0,no delay,20230102,20230223
C423988050,1.0,5648,5648.0,no delay,20230220,20230223
02-034007-002,,83,,invalid date,0,20230225
10164-01,1.0,486,486.0,no delay,20221130,20230225
02-034007-002,,129,,invalid date,0,20230303
02-043129-001-M,1.0,130,130.0,invalid date,0,20230304
R811115C101,1.0,2308,2308.0,no delay,20230102,20230307
R811115C101,1.0,2372,2372.0,no delay,20230220,20230307
685M12A,,300,,no delay,20230306,20230311
B122180040-UNCOAT,,1195,,no delay,20230102,20230311
B122180040-UNCOAT,,1200,,no delay,20230220,20230311
C425362050,1.0,1200,1200.0,no delay,20230220,20230311
C224059072,,733,,no delay,20230220,20230311
C224059072,,2067,,delay,20230403,20230311
C423988050,1.0,3000,3000.0,no delay,20230306,20230311
S522524069,,2080,,delay,20230320,20230311
T820077172,1.0,671,671.0,invalid date,0,20230311
04-00512736-001,1.0,21,21.0,no delay,20230305,20230308
04-00527913-001,1.0,39,39.0,no delay,20230305,20230308
65508-01,,12,,no delay,20230217,20230310
65508-01,,3,,no delay,20230217,20230310
02-034007-002,,108,,invalid date,0,20230310
04-00512736-001,1.0,49,49.0,no delay,20230305,20230310
02-045741-001-M,1.0,66,66.0,delay,20230330,20230311
02-045741-001-M,1.0,65,65.0,delay,20230430,20230311
SETUP-OEM,1.0,1,1.0,no delay,20230110,20230313
